Date,Student ID,High(cm),Calcium-Day(mg)
10/10/2022,265345221001,165,800
10/11/2022,265345221002,156,754
10/12/2022,265345221003,178,560
10/13/2022,265345221004,168,851
10/14/2022,265345221005,154,459
10/15/2022,265345221006,156,758
10/16/2022,265345221007,175,958
10/17/2022,265345221008,180,856
10/18/2022,265345221009,169,754
10/19/2022,265345221010,175,548
10/20/2022,265345221011,178,695
10/21/2022,265345221012,155,821
10/22/2022,265345221013,165,456
10/23/2022,265345221014,164,859
10/24/2022,265345221015,172,758
10/25/2022,265345221016,158,458
10/26/2022,265345221017,162,589
10/27/2022,265345221018,171,654
10/28/2022,265345221019,182,859
10/29/2022,265345221020,165,745
10/30/2022,265345221021,164,854
10/31/2022,265345221022,152,562
11/1/2022,265345221023,178,854
11/2/2022,265345221024,156,957
11/3/2022,265345221025,164,854
11/4/2022,265345221026,185,652
11/5/2022,265345221027,163,458
11/6/2022,265345221028,164,752
11/7/2022,265345221029,175,757
11/8/2022,265345221030,155,456
11/9/2022,265345221031,152,456
11/10/2022,265345221032,159,658
11/11/2022,265345221033,178,758
11/12/2022,265345221034,166,569
11/13/2022,265345221035,185,875
11/14/2022,265345221036,176,456
11/15/2022,265345221037,177,859
11/16/2022,265345221038,165,759
11/17/2022,265345221039,154,547
11/18/2022,265345221040,165,856
11/19/2022,265345221041,156,526
11/20/2022,265345221042,152,521
11/21/2022,265345221043,155,625
11/22/2022,265345221044,175,633
11/23/2022,265345221045,145,685
11/24/2022,265345221046,186,754
11/25/2022,265345221047,175,546
11/26/2022,265345221048,178,652
11/27/2022,265345221049,162,852
11/28/2022,265345221050,161,741
11/29/2022,265345221051,154,639
11/30/2022,265345221052,145,523
12/1/2022,265345221053,142,852
12/2/2022,265345221054,185,889
12/3/2022,265345221055,179,546
12/4/2022,265345221056,165,775
12/5/2022,265345221057,180,522
12/6/2022,265345221058,163,665
12/7/2022,265345221059,174,425
12/8/2022,265345221060,154,758
12/9/2022,265345221061,145,857
12/10/2022,265345221062,162,748
12/11/2022,265345221063,160,552
12/12/2022,265345221064,175,445
12/13/2022,265345221065,172,857
12/14/2022,265345221066,154,854
12/15/2022,265345221067,168,554
12/16/2022,265345221068,171,456
12/17/2022,265345221069,152,324
12/18/2022,265345221070,176,758
12/19/2022,265345221071,175,415
12/20/2022,265345221072,165,256
12/21/2022,265345221073,145,869
12/22/2022,265345221074,155,578
12/23/2022,265345221075,178,245
12/24/2022,265345221076,182,654
12/25/2022,265345221077,186,858
12/26/2022,265345221078,155,325
12/27/2022,265345221079,175,215
12/28/2022,265345221080,165,859
12/29/2022,265345221081,156,526
12/30/2022,265345221082,162,745
12/31/2022,265345221083,174,858
1/1/2023,265345221084,158,625
1/2/2023,265345221085,165,756
1/3/2023,265345221086,180,854
1/4/2023,265345221087,175,745
1/5/2023,265345221088,162,658
1/6/2023,265345221089,144,354
1/7/2023,265345221090,165,658
1/8/2023,265345221091,188,874
1/9/2023,265345221092,155,546
1/10/2023,265345221093,174,759
1/11/2023,265345221094,145,365
1/12/2023,265345221095,162,754
1/13/2023,265345221096,185,854
1/14/2023,265345221097,167,765
1/15/2023,265345221098,150,365
1/16/2023,265345221099,174,724
1/17/2023,265345221100,160,763
